工厂/基地,公司,归属公司,所属公司展示,厂房/资产所有权,城市/地区,纬度,经度,状态,类型,投资额,Tesla 对应合同金额,开始日期,厂房建设起点,完成/投产日期,产能,工人数量,备注
Fremont Factory,Tesla,"Tesla, Inc.",,,"Fremont, California, USA",37.494,-121.944,已完成/运营中,整车制造（Model S/3/X/Y）,公开单厂口径未统一；Tesla曾称在加州创造2万+岗位并投入数十亿美元（州级口径）,,"2010-10（Tesla接手并启动改造）",,2012-06（Model S下线）,安装年产能约65万辆（10万 Model S/X + 55万 Model 3/Y）,"约20,000+（加州口径）",Tesla 北美最高产整车厂；也是唯一同时生产 S/3/X/Y 的工厂。
Gigafactory Nevada,Tesla,"Tesla, Inc.",,,"Storey County / Sparks, Nevada, USA",39.539,-119.44,已完成/扩建中,电池、电驱、储能、动力总成、Semi 相关,截至2025-06累计估算投资约70亿美元；州税收激励最高约1.95亿美元,,2014,,2016（开始量产）,官方未给整站统一口径；已量产电池/电驱/储能，并在推进高产 Semi 工厂,"截至2025-06约8,060（含Tesla及合作伙伴）",Tesla 官方称其为全球最高产量工厂之一。
Gigafactory New York,Tesla,"Tesla, Inc.",,,"Buffalo, New York, USA",42.831,-78.85,已完成/运营中,Solar Roof、太阳能板、Supercharger 电气组件,州政府/相关机构投入约7.5亿-9.59亿美元，Tesla承担超支部分,,2014,,2017,公开统一年产能口径未披露,"2025年末南布法罗厂约2,399名全职员工",资产由纽约州相关机构持有并出租给 Tesla。
Gigafactory Shanghai,Tesla,"Tesla, Inc.",,,"Lingang, Shanghai, China",30.888,121.669,已完成/运营中,整车制造（Model 3 / Model Y）,总投资约500亿元人民币,,"2019-01（开工）",,"2019-12（首批交付）",安装年产能95万辆以上,"约20,000",Tesla 海外最重要整车出口与成本控制基地之一。
Gigafactory Berlin-Brandenburg,Tesla,"Tesla, Inc.",,,"Grünheide, Brandenburg, Germany",52.409,13.807,已完成/运营中,整车制造（Model Y）,约50亿欧元,,2020,,2022-03-22（正式开业）,安装年产能37.5万辆以上,"约11,000",欧洲制造与本地化供应链核心。
Gigafactory Texas,Tesla,"Tesla, Inc.",,,"Austin, Texas, USA",30.222,-97.62,已完成/运营中,整车制造（Model Y、Cybertruck）,2020年初始项目约11亿美元；截至2024-12合规口径累计投资约57.5亿美元,,"2020-07",,"2022-04（正式开业）",安装年产能25万辆以上 Model Y + 12.5万辆以上 Cybertruck,"2024年大奥斯汀地区口径约21,191",美国新平台与下一代车型导入的关键基地。
Megafactory Lathrop,Tesla,"Tesla, Inc.",,,"Lathrop, California, USA",37.807,-121.282,已完成/运营中,储能（Megapack）,公开统一投资额未披露,,"2021（公开宣布）",,"2022-2023（爬坡投产）","每年10,000台 Megapack，约40 GWh",公开统一口径未披露,北美公用事业级储能制造核心基地。
Megafactory Shanghai,Tesla,"Tesla, Inc.",,,"Lingang, Shanghai, China",30.873,121.767,已完成/运营中（2025投产）,储能（Megapack）,总投资约14.5亿元人民币,,"2024-05-23（正式开工）",,"2025-02-11（正式投产）","初始年产10,000台 Megapack，约40 GWh",公开统一口径未披露,Tesla 首个美国以外储能 Megafactory。
Gigafactory Mexico（规划）,Tesla,"Tesla, Inc.",,,"Santa Catarina, Nuevo León, Mexico",25.676,-100.46,规划/暂停,规划整车工厂,约50亿美元（公告口径）,,"2023-03（宣布）",,未完成；2024年以来处于暂停/待定,未披露,"规划5,000-6,000个岗位",墨西哥项目受需求、关税与资本开支节奏影响明显。
Terafab / Tesla AI Chip Fab,Tesla,"Tesla, Inc.","Tesla（项目） / Samsung（代工厂）",Samsung Semiconductor / Samsung Austin Semiconductor,"Taylor, Texas, USA",30.57076,-97.40944,在建/待量产爬坡,AI/自动驾驶/机器人 SoC 芯片制造,17.0bn USD（Samsung Taylor fab 初始最低投资）,16.5bn USD（AI6 芯片长期代工协议）,2025-07-24（Tesla AI6 代工协议起始）,2021-11（Samsung Taylor fab 官宣建厂）,2026（Samsung Taylor fab 官方口径为 2026 启动运营）,未披露,未披露,Tesla 官方已有 Terafab 招聘体系，但公开资料不足以证明 Tesla 自有高产能晶圆厂已独立落地；当前最明确的实体制造载体是 Samsung Taylor fab。
Hawthorne Manufacturing Campus,SpaceX,Space Exploration Technologies Corp.,,,"Hawthorne, California, USA",33.92,-118.328,已完成/运营中,火箭/飞船/卫星主制造总部,公开统一口径未披露,,2000年代中后期,,已长期运营,官方未披露统一产能；官方称绝大多数飞行器在该园区一体化制造,公开统一口径未披露,Falcon/Dragon 体系的核心制造与总装园区。
Starbase / Starfactory,SpaceX,Space Exploration Technologies Corp.,,,"Boca Chica / Starbase, Texas, USA",25.997,-97.156,已完成主厂并持续扩建,Starship / Super Heavy 制造与集成,公开统一口径未披露；另有Gigabay项目披露约2.5亿美元,,Starfactory 于2022年前后破土,,2024年前后形成规模化制造能力,Starfactory 目标 1 艘 Starship/天,"约3,400（园区口径）",Starship 量产与快速迭代核心。
Bastrop Starlink Factory,SpaceX,Space Exploration Technologies Corp.,,,"Bastrop, Texas, USA",30.11,-97.317,已完成并扩建中,Starlink 终端/半导体研发与先进封装,2025年扩建项目资本开支 >2.8亿美元；配套州补助1730万美元,,2020年代初建厂，2025年公告新扩建,,已运营，扩建持续中,"公开报道曾提到Starlink终端约15,000套/日",扩建预计新增400+岗位,SpaceX 正在把 Bastrop 做成 Starlink 硬件与半导体能力中心。
