project,country,region,status,deposit_type,reserve_resource,grade,current_kta_lce,planned_kta_lce,cost,address,lat,lon,route,port_lat,port_lon,risks,source_note,map_capacity_kta
Greenbushes,Australia,Western Australia,Operating,Hard-rock pegmatite (spodumene),Probable reserves 155.9 Mt @ 1.8% Li2O,1.8% Li2O,222.6,244.9,US$310-360/t concentrate cash cost guidance (FY26); FY25 unit cash cost ~US$325/t concentrate,"Greenbushes, ~250 km south of Perth, WA",-33.85,116.06,Truck to Bunbury / Kwinana export and conversion corridor,-33.325,115.641,Ore grade dilution; strip ratio; processing recovery; Chinese converter demand; owner discipline on incremental tonnes,Albemarle TRS 2025; IGO/Greenbushes guidance 2025,244.9
Wodgina,Australia,Western Australia,Operating,Hard-rock pegmatite (spodumene),Reserves 115.8 Mt @ 1.3% Li2O; resources additional in pit and underground,1.3% Li2O reserve grade,121.7,121.7,FY25 FOB cost guidance ~US$849/dmt (spot quarter lower); cost still mid-low on global curve,"Wodgina, Pilbara, ~110 km south of Port Hedland, WA",-21.25,118.48,Road haul to Port Hedland,-20.31,118.58,Restart/stop discipline; mine sequencing; recovery optimization; Chinese conversion margins; underground optionality not yet realized,Albemarle TRS 2025; Mineral Resources annual update 2025,121.7
Pilgangoora,Australia,Western Australia,Operating / expanding,Hard-rock pegmatite (spodumene),Ore reserves 214.2 Mt @ 1.19% Li2O; resources 446 Mt @ 1.28% Li2O,1.19% Li2O reserve; 1.28% Li2O resource,148.4,296.8,FY25 unit operating cost ~A$627/t FOB concentrate,"Pilgangoora, Pilbara, near Port Hedland, WA",-21.02,118.95,Road haul to Port Hedland,-20.31,118.58,P1000/P2000 expansion timing; ore sorting and recovery; price-linked throttling; contractor-to-owner transition; capex discipline,Pilbara Minerals 2025 resource update and FY25 results,296.8
Mt Marion,Australia,Western Australia,Operating,Hard-rock pegmatite (spodumene),Public 2025 project-level reserve disclosure limited in crawl; long-life established operating asset,Typical concentrate grades 5.0% and 3.5% Li2O products,89.0,89.0,FY25 FOB cost guidance ~US$902/dmt; March quarter ~US$708/dmt,"Mt Marion, near Kalgoorlie, WA",-29.98,121.57,Truck/rail to Esperance export corridor,-33.86,121.89,Orebody continuity and recovery; lower-price curtailment risk; product mix and offtake optimization,Mineral Resources quarterly 2025,89.0
Kathleen Valley,Australia,Western Australia,Ramp-up,Hard-rock pegmatite (spodumene),Resource 150 Mt @ 1.33% Li2O; ore reserve 71.7 Mt @ 1.32% Li2O,1.33% Li2O resource; 1.32% Li2O reserve,75.0,104.0,Ramp-up asset; unit cost still normalizing; management focus on higher-margin ore sequencing,"Kathleen Valley, north of Leinster, WA",-27.99,120.84,Road haul to Geraldton/Kwinana export corridor,-28.77,114.61,Underground transition timing; ramp-up execution; working capital; throughput consistency; contractor performance,Liontown 2025 mineral resource and ore reserve update,104.0
Mt Holland (Earl Grey),Australia,Western Australia,Ramp-up / integrated refining,Hard-rock pegmatite (spodumene),Total reserves 85.6 Mt @ 1.45% Li2O; resources 210.6 Mt @ 1.37% Li2O,1.45% Li2O reserve; 1.37% Li2O resource,56.4,56.4,Mining + processing + logistics used in TRS reserve economics; integrated refinery economics sensitive to ramp-up,"Mt Holland, ~120 km southeast of Southern Cross, WA",-32.1,119.73,Mine to Kwinana refinery; export via Fremantle/Kwinana,-32.24,115.77,Refinery commissioning; hydroxide qualification; integrated logistics; capex and conversion yield,SQM Mt Holland TRS 2025,56.4
Mt Cattlin,Australia,Western Australia,Care & maintenance / optional restart,Hard-rock pegmatite (spodumene),Ore reserves 2.3 Mt @ 1.10% Li2O; resources exclusive of reserves 11.3 Mt @ 1.35% Li2O,1.10% Li2O reserve; 1.35% Li2O resource,0.0,20.0,High cost relative to tier-1 Australian peers in weak price conditions; current restart economics price dependent,"Mt Cattlin, Ravensthorpe district, WA",-33.67,120.67,Truck to Esperance export corridor,-33.86,121.89,Restart only if price recovers; underground extension studies; limited open-pit reserve base,Rio Tinto lithium resources & reserves 2025,20.0
Salar de Atacama (SQM + Albemarle cluster),Chile,Antofagasta,Operating,Brine salar,Chile's flagship low-cost brine system; Albemarle TRS shows reserves 453.7 kt Li plus resources >1.26 Mt Li on Albemarle area; SQM TRS supports long-life operation,"Brine grades typically >2,000 mg/L in core operating areas",210.0,300.0,"Global first-quartile cost center; low-cost band ~US$3,900-4,700/t LCE in comparative cost-curve work","Salar de Atacama, Antofagasta Region, Chile",-23.3,-68.25,"Road to Antofagasta/Mejillones, then marine export",-23.65,-70.4,CORFO contract framework; brine extraction caps; indigenous/community negotiations; DLE transition; environmental scrutiny and water balances,Albemarle TRS 2025; SQM TRS 2024; CCCarto 2025,300.0
Olaroz,Argentina,Jujuy,Operating,Brine salar,Resources 19.7 Mt LCE; ore reserves 2.7 Mt LCE,Brine grade around 520 mg/L average in reported resource,43.0,43.0,"Not separately disclosed recently; generally mid-cost brine, below many DLE greenfields","Olaroz-Cauchari salar, Jujuy Province",-23.55,-66.68,Road via Paso de Jama to Antofagasta/Mejillones,-23.65,-70.4,Brine field performance; reagent/power cost in Argentina; JV governance; export controls/FX regime,Rio Tinto resources & reserves 2025; Rio Olaroz site,43.0
Cauchari-Olaroz,Argentina,Jujuy,Operating / expansion,Brine salar,Stage-1 operation; project resources 19.85 Mt LCE @ ~592 mg/L; reserves 3.635 Mt LCE @ ~607 mg/L,~592-607 mg/L lithium in brine,40.0,85.0,"Comparative cost-curve work places Cauchari among mid-cost lithium assets (~US$5,000-7,500/t LCE band)","Cauchari basin, Jujuy Province",-23.12,-66.84,Road via Paso de Jama to Antofagasta/Mejillones,-23.65,-70.4,Brine chemistry and pond/DLE performance; expansion capital; Argentina macro/FX; infrastructure at altitude,Portfolio Lithium 2025; Lithium Argentina expansion targets 2025,85.0
Fenix,Argentina,Catamarca,Operating,Brine salar,Resources 11.7 Mt LCE; ore reserves 5.4 Mt LCE,Average reported brine grade ~720 mg/L across total resources,25.0,35.0,Legacy low-cost asset with proprietary adsorption; generally on low end of global brine cost curve,"Salar del Hombre Muerto, Catamarca",-25.48,-67.06,Road via Andean corridor to Chilean Pacific ports (Caldera/Antofagasta) or Argentine domestic routes,-27.07,-70.83,Mature field decline management; expansion timing (1A/1B); DLE/selective adsorption uptime; Argentina logistics,Rio Tinto resources & reserves 2025; Rio Fenix site,35.0
Centenario-Ratones,Argentina,Salta,Ramp-up,Brine salar / DLE,Resources 9.938 Mt LCE; reserves 1.112 Mt LCE,Public project disclosures indicate commercial DLE route; average brine concentration not uniformly reported in crawl,24.0,24.0,"Expected first-quartile cash cost including royalties ~US$4,500-5,000/t LCE","Centenario-Ratones, Salta Province",-25.39,-67.05,Road to Chilean Pacific ports via Salta/Jujuy corridor,-23.65,-70.4,Commercial DLE ramp-up; reagent and power logistics; plateau attainment vs nameplate; water and community management,Portfolio Lithium 2025; Eramet 2025 guidance,24.0
Mariana,Argentina,Salta,Operating / early ramp-up,Brine salar,Resources around 8.1 Mt LCE reported in market releases,Brine lithium concentration disclosed around project level; detailed reserve update not easily extractable in current crawl,17.0,17.0,Not fully disclosed; renewable-powered brine project with high-altitude logistics burden,"Mariana salar, Salta Province",-23.46,-66.75,Road to Salta logistics hub and Chilean Pacific ports,-23.65,-70.4,Remote-altitude logistics; ramp-up learning curve; brine yield vs model; political/FX conditions in Argentina,Ganfeng/market reporting 2025,17.0
Tres Quebradas (3Q),Argentina,Catamarca,Operating / expansion optionality,Brine salar,Resources ~7.6 Mt LCE; reserves ~1.67 Mt LCE; reserve concentration ~786 mg/L,High-grade reserve zone ~786 mg/L,20.0,40.0,Not recently disclosed; generally advantaged by grade but exposed to ramp and infrastructure execution,"Tres Quebradas salar, Catamarca",-26.52,-67.43,Road via Paso San Francisco to Caldera / Pacific export,-27.07,-70.83,High-altitude infrastructure; pond/DLE yield; second-phase capex; provincial permitting and route reliability,Zijin/Neo Lithium project updates 2025,40.0
Sal de Vida,Argentina,Catamarca,Construction / phased ramp-up,Brine salar,Resources 7.2 Mt LCE; ore reserves 2.486 Mt LCE (project and Rio disclosures broadly consistent),~720-750 mg/L reported in resource disclosures,0.0,45.0,Pre-commercial; cost expected competitive if phased execution stays on schedule,"Salar del Hombre Muerto, Catamarca",-27.45,-68.66,~200 km to Caldera / Pacific export corridor,-27.07,-70.83,Phasing discipline; capex sequencing; procurement; integration with Fenix/Hombre Muerto basin infrastructure,Portfolio Lithium 2025; Rio Tinto resources & reserves 2025,45.0
Rincon,Argentina,Salta,Operating starter plant / major expansion under construction,Brine salar / DLE,Resources 11.68 Mt LCE; measured+indicated 9.39 Mt LCE; probable reserves 2.07 Mt LCE,Brine project; DLE route,3.0,60.0,Large low-cost target asset; commercial cost still to be proven at scale,"Salar del Rincon, Salta Province",-24.02,-67.01,Road to Salta and Chilean Pacific ports; integrated DLE-carbonate chain,-23.65,-70.4,DLE scale-up risk; 57kt expansion construction; permitting and powerline delivery; ramp to full capacity over 3 years,Rio Tinto Rincon site 2026; Rio 2024 reserve statement,60.0
Sal de Oro (POSCO / Hombre Muerto North),Argentina,Catamarca/Salta,Operating / expanding,Brine salar with downstream hydroxide,Large Hombre Muerto brine position; project-level reserve figures not consistently disclosed in current crawl,Brine grade not uniformly disclosed in accessible 2025 summaries,25.0,50.0,Integrated brine-to-hydroxide route; cost depends on upstream phosphate intermediate and downstream refinery efficiency,Salar del Hombre Muerto brine field + General Güemes refinery,-25.42,-67.04,"Brine field to Güemes refinery, then road/rail to Atlantic or Pacific ports",-24.79,-65.41,Refinery ramp-up; intermediate transport; second-phase build; Argentina macro and energy costs,POSCO/market reporting 2024-2026,50.0
Kachi,Argentina,Catamarca,Development,Brine salar / DLE,Updated resources exceed 10.6 Mt LCE; reserve supports 25-year mine life,Resource concentration disclosed in DFS materials; not fully extracted in current crawl,0.0,50.0,DFS addendum points to lower capex and opex vs earlier plans; still unproven commercially,"Kachi salar, Catamarca",-24.58,-66.68,Road via Andean pass to Pacific export corridor,-27.07,-70.83,FID risk; financing; DLE commercial acceptance; sovereign and currency risk,Lake Resources DFS addendum 2025,50.0
Grota do Cirilo,Brazil,Minas Gerais,Operating / expansion,Hard-rock pegmatite (spodumene),Resources 109 Mt @ 1.40% Li2O; reserves 76 Mt (reported after 2024/25 updates),~1.40% Li2O resource,40.1,77.2,Cost improving with phase-2 synergies; still sensitive to product grade and freight to port,"Vale do Jequitinhonha, near Aracuai, Minas Gerais",-16.78,-42.03,BR-367 trucking corridor to Vitória port,-20.31,-40.31,Phase-2 commissioning; rainfall and haulage; Brazilian permitting; customer qualification outside China,Sigma Lithium 2024-2025 releases,77.2
Mibra,Brazil,Minas Gerais,Operating,Hard-rock pegmatite / by-product with tantalum,Measured & indicated resources 20.3 Mt (lithium-bearing pegmatites and associated metals),Project-level Li2O reserve grade not clearly disclosed in accessible 2025 sources,19.3,19.3,Low-cost position supported by tantalum by-product credits,"Nazareno region, Minas Gerais",-21.22,-44.61,Road/rail to Rio de Janeiro / southeast Brazil export corridor,-22.9,-43.17,By-product pricing; reserve conversion; concentrate demand in Europe; mine sequencing,AMG Lithium resources and Mibra materials 2025,19.3
North American Lithium (NAL),Canada,Quebec,Operating,Hard-rock pegmatite (spodumene),Mineral reserve 49 Mt @ 1.11% Li2O,1.11% Li2O reserve grade,59.0,59.0,Not fully disclosed publicly in current crawl; benefits from Quebec hydropower and regional infrastructure,"La Corne, Quebec",48.5,-78.5,Truck/rail to Bécancour / Montreal battery and port corridor,46.34,-72.54,Grade variability; recovery; restart consistency; downstream North American conversion economics,Elevra / NAL 2025,59.0
Whabouchi,Canada,Quebec,Construction,Hard-rock pegmatite (spodumene),Ore reserves 26.5 Mt @ 1.32% Li2O; resources exclusive of reserves 26.9 Mt @ 1.45% Li2O,1.32% Li2O reserve; 1.45% Li2O resource,0.0,31.9,Not fully disclosed in current crawl; integrated mine-to-hydroxide chain seeks competitive North American cost position,"Whabouchi, Quebec",51.38,-74.28,"405 km truck to Matagami, rail to Bécancour/Montreal",45.5,-73.55,Construction schedule; integrated refinery execution; Indigenous/community agreements; capital intensity,Nemaska / Rio Tinto 2025,31.9
Galaxy (James Bay),Canada,Quebec,Development,Hard-rock pegmatite (spodumene),Ore reserves 37.3 Mt @ 1.27% Li2O; resources 110.2 Mt @ 1.30% Li2O,1.27% Li2O reserve; 1.30% Li2O resource,0.0,46.2,FOB Montreal cash cost ~US$407/t concentrate in updated study,"James Bay region, ~94 km east of Eastmain, Quebec",52.85,-77.5,"Road to Quebec logistics network, then Montreal export/conversion corridor",45.5,-73.55,Permitting finalization; construction start timing; Quebec labor/capex inflation; offtake timing,Allkem/Galaxy project update 2023; Rio Tinto 2025,46.2
PAK,Canada,Ontario,Development,Hard-rock pegmatite (spodumene),Project reserve 31.1 Mt @ 1.51% Li2O; Spark reserve 27.2 Mt @ 1.44% Li2O,1.51% Li2O project reserve,0.0,36.0,Study positions PAK as potentially North America's lowest-cost spodumene producer,Northwestern Ontario near Red Lake,51.65,-94.9,Road to Thunder Bay and Great Lakes / North American conversion chain,48.38,-89.25,Permitting and First Nations agreements; financing; mine-to-chemical integration timeline,Frontier Lithium FS 2025,36.0
Goulamina,Mali,Sikasso,Construction / commissioning,Hard-rock pegmatite (spodumene),Updated resources 267.2 Mt @ 1.38% Li2O; stage-1 reserve base from DFS supports multi-decade mine,1.38% Li2O resource,0.0,75.1,"Stage-1 DFS cash cost ~US$312/t concentrate (FOB, dry)","Goulamina, southern Mali",-11.69,-8.27,"Road to Abidjan port, Côte d'Ivoire",5.32,-4.01,Country risk; logistics reliability through Abidjan corridor; security; phased expansion execution,Leo Lithium/Ganfeng updates 2024-2025,75.1
Arcadia,Zimbabwe,Harare,Operating,Hard-rock pegmatite (petalite/spodumene/eucryptite),Probable reserves 26.9 Mt @ 1.31% Li2O,1.31% Li2O reserve,59.4,59.4,Not transparently disclosed; value-add sulfate plant can lower logistics intensity but adds execution risk,"Arcadia, near Harare",-17.87,31.27,"Road to Beira port, Mozambique",-19.84,34.84,"Power reliability; beneficiation/yield; Zimbabwe export policy. 华友 5 万吨/年硫酸锂厂 2026-04 投产（称非洲首批硫酸锂出口）；津巴 2027-01 原矿出口禁令确认按期执行、不予延期","华友钴业 / Prospect PLZ; Zimbabwe reporting 2026",59.4
Bikita,Zimbabwe,Masvingo,Operating / expanding,Hard-rock pegmatite (petalite/spodumene),Large historic pegmatite system; public 2025 reserve statement not standardized in accessible sources,Deposit hosts petalite and spodumene; grade varies by orebody,60.0,90.0,Not public in a standardized way; by-product and existing infrastructure help competitiveness,"Bikita, ~80 km northeast of Masvingo",-20.13,31.98,"Road to Beira port, Mozambique",-19.84,34.84,"Zimbabwe policy and beneficiation mandates; grid power; reserve verification; logistics. 硫酸锂厂在建、2026 年中尚未投产；津巴 2027-01 原矿出口禁令确认按期执行；2026-07 中矿锂盐产线检修","Sinomine/Bikita site; Zimbabwe 2026 sector reporting",90.0
Sabi Star,Zimbabwe,Manicaland,Operating,Hard-rock pegmatite,Approx. 5 Mt ore @ 1.86% Li2O and 294 g/t Ta2O5 cited in project materials,~1.86% Li2O,43.0,44.5,Not disclosed; high grade offsets some infrastructure/logistics penalties,"Buhera District, Manicaland",-19.29,32.17,"Road to Beira port, Mozambique",-19.84,34.84,Scale-up beyond first claims; export policy; logistics and water availability,Chengxin / Africa project summaries 2025,44.5
Manono,DRC,Tanganyika,Construction / disputed development environment,Hard-rock pegmatite,Resources about 400 Mt @ 1.65% Li2O in public project materials,~1.65% Li2O,0.0,74.0,"Potentially very competitive on scale/grade, but logistics and legal uncertainty dominate economics","Manono, Tanganyika Province, DRC",-7.3,27.42,Road/rail to Dar es Salaam or Atlantic alternatives incl. Lobito corridor,-6.8,39.29,Title disputes; sovereign risk; export corridor build-out; power and river diversion infrastructure,Zijin/AVZ/market reporting 2025,74.0
Ewoyaa,Ghana,Central Region,Permitted / pre-construction,Hard-rock pegmatite,Resources 36.8 Mt @ 1.24% Li2O; ore reserves 25.6 Mt @ 1.22% Li2O,1.24% Li2O resource; 1.22% Li2O reserve,0.0,54.2,DFS low-capex profile attractive; cost details not repeated in latest website snippet,"Cape Coast region, Ghana",5.45,-1.76,~112 km by national highway to Port of Takoradi,4.89,-1.75,Construction funding; Ghana fiscal terms; community agreements; first-mine execution,Atlantic Lithium / Elevra 2025-2026,54.2
